id,title,status,user_score,watchd_ep,total_ep,airing_status,media_type,mpaa_rating,start_date,end_date
15687,Chuunibyou demo Koi ga Shitai! Lite,Completed,4,6,6,Finished Airing,ONA,PG-13,27-Sep-2012,31-Oct-2012
2167,Clannad,Completed,5,23,23,Finished Airing,TV,PG-13,05-Oct-2007,28-Mar-2008
1723,Clannad Movie,Completed,4,1,1,Finished Airing,Movie,PG-13,15-Sep-2007,15-Sep-2007
4181,Clannad: After Story,Completed,5,24,24,Finished Airing,TV,PG-13,03-Oct-2008,27-Mar-2009
6351,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",Completed,4,1,1,Finished Airing,Special,PG-13,01-Jul-2009,01-Jul-2009
4059,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",Completed,6,1,1,Finished Airing,Special,PG-13,16-Jul-2008,16-Jul-2008
34437,Code Geass: Fukkatsu no Lelouch,Completed,4,1,1,Finished Airing,Movie,R,09-Feb-2019,09-Feb-2019
1575,Code Geass: Hangyaku no Lelouch,Completed,9,25,25,Finished Airing,TV,R,06-Oct-2006,29-Jul-2007
2904,Code Geass: Hangyaku no Lelouch R2,Completed,10,25,25,Finished Airing,TV,R,06-Apr-2008,28-Sep-2008
10029,Coquelicot-zaka kara,Completed,7,1,1,Finished Airing,Movie,G,16-Jul-2011,16-Jul-2011
1,Cowboy Bebop,Completed,5,26,26,Finished Airing,TV,R,03-Apr-1998,24-Apr-1999
35849,Darling in the FranXX,Completed,7,24,24,Finished Airing,TV,PG-13,13-Jan-2018,07-Jul-2018
1535,Death Note,Completed,9,37,37,Finished Airing,TV,R,04-Oct-2006,27-Jun-2007
28223,Death Parade,Completed,7,12,12,Finished Airing,TV,R,10-Jan-2015,28-Mar-2015
40056,Deca-Dence,Completed,7,12,12,Finished Airing,TV,PG-13,08-Jul-2020,23-Sep-2020
552,Digimon Adventure,Completed,6,54,54,Finished Airing,TV,PG,07-Mar-1999,26-Mar-2000
1313,Digimon Adventure 02,Completed,5,50,50,Finished Airing,TV,PG,02-Apr-2000,25-Mar-2001
2962,Digimon Adventure 02 Movies,Completed,2,2,2,Finished Airing,Movie,PG,08-Jul-2000,08-Jul-2000
2398,Digimon Adventure 02: Diablomon no Gyakushuu,Completed,2,1,1,Finished Airing,Movie,PG,03-Mar-2001,03-Mar-2001
2961,Digimon Adventure Movie,Completed,2,1,1,Finished Airing,Movie,PG,06-Mar-1999,06-Mar-1999
25687,Digimon Adventure tri. 1: Saikai,Completed,5,1,1,Finished Airing,Movie,PG-13,21-Nov-2015,21-Nov-2015
32108,Digimon Adventure tri. 2: Ketsui,Completed,4,1,1,Finished Airing,Movie,PG-13,12-Mar-2016,12-Mar-2016
32551,Digimon Adventure tri. 3: Kokuhaku,Completed,4,1,1,Finished Airing,Movie,PG-13,24-Sep-2016,24-Sep-2016
34299,Digimon Adventure tri. 4: Soushitsu,Completed,4,1,1,Finished Airing,Movie,PG-13,25-Feb-2017,25-Feb-2017
34962,Digimon Adventure tri. 5: Kyousei,Completed,3,1,1,Finished Airing,Movie,PG-13,30-Sep-2017,30-Sep-2017
36466,Digimon Adventure tri. 6: Bokura no Mirai,Completed,3,1,1,Finished Airing,Movie,PG-13,05-May-2018,05-May-2018
2397,Digimon Adventure: Bokura no War Game!,Completed,2,1,1,Finished Airing,Movie,PG,04-Mar-2000,04-Mar-2000
1132,Digimon Frontier,Completed,6,50,50,Finished Airing,TV,PG,07-Apr-2002,30-Mar-2003
859,Digimon Savers,Completed,6,48,48,Finished Airing,TV,PG,02-Apr-2006,25-Mar-2007
874,Digimon Tamers,Completed,6,51,51,Finished Airing,TV,PG,01-Apr-2001,31-Mar-2002
37520,Dororo,Completed,8,24,24,Finished Airing,TV,R,07-Jan-2019,24-Jun-2019
38691,Dr. Stone,Completed,8,24,24,Finished Airing,TV,PG-13,05-Jul-2019,13-Dec-2019
40852,Dr. Stone: Stone Wars,Completed,7,11,11,Finished Airing,TV,PG-13,14-Jan-2021,25-Mar-2021
813,Dragon Ball Z,Completed,3,291,291,Finished Airing,TV,PG-13,26-Apr-1989,31-Jan-1996
39792,Eizouken ni wa Te wo Dasu na!,Completed,6,12,12,Finished Airing,TV,PG-13,06-Jan-2020,23-Mar-2020
226,Elfen Lied,Completed,9,13,13,Finished Airing,TV,R+,25-Jul-2004,17-Oct-2004
376,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",Completed,5,1,1,Finished Airing,Special,R+,21-Apr-2005,21-Apr-2005
37033,Emiya-san Chi no Kyou no Gohan,Completed,4,13,13,Finished Airing,ONA,PG-13,25-Jan-2018,01-Jan-2019
38671,Enen no Shouboutai,Completed,5,24,24,Finished Airing,TV,PG-13,06-Jul-2019,28-Dec-2019
40956,Enen no Shouboutai: Ni no Shou,Completed,5,24,24,Finished Airing,TV,PG-13,04-Jul-2020,12-Dec-2020
6702,Fairy Tail,Completed,5,175,175,Finished Airing,TV,PG-13,12-Oct-2009,30-Mar-2013
22043,Fairy Tail (2014),Completed,5,102,102,Finished Airing,TV,PG-13,05-Apr-2014,26-Mar-2016
35972,Fairy Tail: Final Series,Completed,5,51,51,Finished Airing,TV,PG-13,07-Oct-2018,29-Sep-2019
34662,Fate/Apocrypha,Completed,7,25,25,Finished Airing,TV,R,02-Jul-2017,31-Dec-2017
33047,Fate/Extra: Last Encore,Completed,4,10,10,Finished Airing,TV,R,28-Jan-2018,01-Apr-2018
37651,Fate/Extra: Last Encore - Illustrias Tendousetsu,Completed,3,3,3,Finished Airing,TV,R,29-Jul-2018,29-Jul-2018
34321,Fate/Grand Order: First Order,Completed,6,1,1,Finished Airing,Special,PG-13,31-Dec-2016,31-Dec-2016
36914,Fate/Grand Order: Himuro no Tenchi - 7-nin no Saikyou Ijin-hen,Completed,1,1,1,Finished Airing,Special,PG-13,31-Dec-2017,31-Dec-2017
36915,Fate/Grand Order: Moonlight/Lostroom,Completed,3,1,1,Finished Airing,Special,PG-13,31-Dec-2017,31-Dec-2017
38084,Fate/Grand Order: Zettai Majuu Sensen Babylonia,Completed,6,21,21,Finished Airing,TV,PG-13,05-Oct-2019,21-Mar-2020
40206,Fate/Grand Order: Zettai Majuu Sensen Babylonia - Initium Iter,Completed,6,1,1,Finished Airing,Special,PG-13,04-Aug-2019,04-Aug-2019
14829,Fate/kaleid liner Prisma☆Illya,Completed,2,10,10,Finished Airing,TV,PG-13,13-Jul-2013,14-Sep-2013
27525,Fate/kaleid liner Prisma☆Illya 2wei Herz!,Completed,3,10,10,Finished Airing,TV,PG-13,25-Jul-2015,26-Sep-2015
31056,Fate/kaleid liner Prisma☆Illya 2wei Herz! Specials,Completed,2,5,5,Finished Airing,Special,PG-13,25-Sep-2015,29-Jan-2016
20509,Fate/kaleid liner Prisma☆Illya 2wei!,Completed,2,10,10,Finished Airing,TV,PG-13,10-Jul-2014,11-Sep-2014
25011,Fate/kaleid liner Prisma☆Illya 2wei! Specials,Completed,3,5,5,Finished Airing,Special,PG-13,26-Sep-2014,30-Jan-2015
26057,Fate/kaleid liner Prisma☆Illya 2wei!: Mahou Shoujo in Onsen Ryokou,Completed,2,1,1,Finished Airing,OVA,PG-13,25-Jul-2015,25-Jul-2015
31706,Fate/kaleid liner Prisma☆Illya 3rei!!,Completed,3,12,12,Finished Airing,TV,PG-13,06-Jul-2016,21-Sep-2016
33456,Fate/kaleid liner Prisma☆Illya 3rei!! Specials,Completed,2,6,6,Finished Airing,Special,PG-13,30-Sep-2016,24-Feb-2017
34100,Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai,Completed,6,1,1,Finished Airing,Movie,PG-13,26-Aug-2017,26-Aug-2017
36833,Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai - Kuro Sakura no Heya,Completed,2,1,1,Finished Airing,Special,PG-13,31-Jan-2018,31-Jan-2018
19109,Fate/kaleid liner Prisma☆Illya Specials,Completed,2,5,5,Finished Airing,Special,PG-13,27-Sep-2013,31-Jan-2014
